profile_id,target_role,research_consent_given,created_at,updated_at,job_satisfaction,D1,D2,D3,D4,D5,D6_result,D6_learning,D6_relation,suggested_role,triage_decision_quality,triage_strategy_adaptation,triage_decision_speed,gonogo_inhibition_control,gonogo_attention_stability,gonogo_response_stability,neg_interaction_balance,neg_decision_drive,neg_outcome_quality
3eafff1d-e7a2-4e47-9a9d-e99388ee041b,sales_ops,True,2026-03-12T12:51:24.266+00:00,2026-03-12T12:54:54.401519+00:00,5,85.0,80.0,63.0,75.0,31.0,100.0,92.0,100.0,receptionist,0.75,0.4166666666666667,0.0001676832463476,0.8666666666666667,0.1555555555555555,0.013496570596705,0.1166666666666666,0.7999999999999999,0.7166666666666667
1ac56240-ef90-4360-a0d1-585b60886757,sales_ops,True,2026-03-14T12:02:38.609+00:00,2026-03-14T12:04:33.557255+00:00,3,55.0,60.0,56.0,56.0,25.0,67.0,75.0,67.0,sales_ops,0.625,0.55,0.0002192081107,0.7333333333333333,0.1333333333333333,0.0101961118048606,0.1166666666666666,0.7999999999999999,0.7166666666666667
867d1f34-4148-42e9-865b-15889571ad89,sales_ops,True,2026-03-12T13:23:08.27+00:00,2026-03-12T13:28:30.088589+00:00,4,75.0,75.0,81.0,44.0,81.0,92.0,100.0,100.0,receptionist,0.5,0.4166666666666666,9.80524335388349e-05,0.8,0.1777777777777778,0.1234560234519082,0.2333333333333333,0.7166666666666667,0.625
d87cecce-e8cd-4a21-afeb-e6f544cfa6bf,sales_ops,True,2026-03-13T12:23:22.602+00:00,2026-03-13T12:26:21.902876+00:00,4,65.0,75.0,94.0,25.0,63.0,92.0,100.0,50.0,receptionist,0.375,0.5833333333333333,0.0002139266231682,0.8,0.1111111111111111,0.0232095960909504,0.4166666666666667,0.5499999999999999,0.5499999999999999
dc5e1d44-459a-43dd-940e-00786d4f84ca,sales_ops,True,2026-03-17T14:08:22.974+00:00,2026-03-17T17:44:22.360837+00:00,5,60.0,95.0,25.0,50.0,63.0,75.0,83.0,83.0,receptionist,0.25,0.75,0.0001685132914858,0.4666666666666667,0.2444444444444444,0.0101663708774323,0.2,0.6166666666666667,0.6333333333333333
3c50cad0-42f0-4118-b406-28e65e0caf2d,developer,True,2026-03-14T16:34:48.229+00:00,2026-03-14T16:40:35.706099+00:00,1,50.0,45.0,31.0,44.0,19.0,92.0,75.0,92.0,developer,0.75,0.9166666666666669,0.000233890773009,0.9333333333333332,0.1333333333333333,0.024790610540819,0.5,0.3666666666666667,0.3916666666666666
6e9e603a-4bc0-4990-bdc8-428c3af32760,developer,True,2026-03-17T21:02:43.2+00:00,2026-03-17T21:05:29.87809+00:00,5,100.0,60.0,44.0,56.0,88.0,83.0,100.0,92.0,developer,0.5,0.4166666666666666,7.482509633731153e-05,1.0,0.0444444444444444,0.0090996410814479,0.25,0.6,0.6083333333333333
2793726b-3a52-4497-bb98-7ae0368d25e2,receptionist,True,2026-03-16T16:41:39.516+00:00,2026-03-16T16:45:09.468007+00:00,3,80.0,75.0,88.0,50.0,50.0,67.0,67.0,75.0,receptionist,0.75,1.0,0.0001004734812805,0.4,0.7111111111111111,0.018249249957484,0.1166666666666666,0.7999999999999999,0.7166666666666667
b581cb58-728d-4c35-ab17-24e896fc6c5d,receptionist,True,2026-03-13T18:12:04.069+00:00,2026-03-13T18:32:09.723495+00:00,3,75.0,65.0,94.0,56.0,44.0,92.0,100.0,83.0,receptionist,0.75,0.9,8.298669100942936e-05,0.9333333333333332,0.1333333333333333,0.031997672983923,0.1166666666666666,0.7999999999999999,0.7166666666666667
1f9327a4-93a4-48d3-9e43-0aa6f57306b0,developer,True,2026-03-12T16:26:43.106+00:00,2026-03-12T16:28:33.813654+00:00,4,55.0,55.0,44.0,63.0,56.0,83.0,100.0,100.0,sales_ops,0.5,0.5833333333333333,0.0002035157343102,0.4333333333333333,0.3,0.0105173578305179,0.2333333333333333,0.7166666666666667,0.625
81b86abc-d94a-48ef-9f0d-86364117876b,sales_ops,True,2026-03-13T12:54:30.767+00:00,2026-03-13T12:58:27.24798+00:00,3,30.0,75.0,75.0,63.0,63.0,100.0,100.0,100.0,receptionist,0.375,0.75,0.0002038787940569,0.8666666666666667,0.1555555555555555,0.0152697789996338,0.4166666666666667,0.5499999999999999,0.4916666666666667
