id,session_id,profile_id,ts,event_type,event_name,payload
292,27007c16-9a5c-4906-acf7-af9a317036cf,3eafff1d-e7a2-4e47-9a9d-e99388ee041b,2026-03-12T12:55:20.153+00:00,triage,run_start,"{'n_items': 8, 'role_context': 'sales_ops'}"
293,27007c16-9a5c-4906-acf7-af9a317036cf,3eafff1d-e7a2-4e47-9a9d-e99388ee041b,2026-03-12T12:55:20.391+00:00,triage,stimulus_shown,"{'turn': 1, 'item_id': 's3', 'is_critical': False}"
294,27007c16-9a5c-4906-acf7-af9a317036cf,3eafff1d-e7a2-4e47-9a9d-e99388ee041b,2026-03-12T12:55:36.812+00:00,triage,user_action,"{'turn': 1, 'rt_ms': 16421, 'correct': False, 'item_id': 's3', 'option_id': 'urgent'}"
295,27007c16-9a5c-4906-acf7-af9a317036cf,3eafff1d-e7a2-4e47-9a9d-e99388ee041b,2026-03-12T12:55:36.991+00:00,triage,feedback_shown,"{'turn': 1, 'outcome': 'loss', 'score_delta': 0}"
296,27007c16-9a5c-4906-acf7-af9a317036cf,3eafff1d-e7a2-4e47-9a9d-e99388ee041b,2026-03-12T12:55:37.112+00:00,triage,stimulus_shown,"{'turn': 2, 'item_id': 's1', 'is_critical': True}"
297,27007c16-9a5c-4906-acf7-af9a317036cf,3eafff1d-e7a2-4e47-9a9d-e99388ee041b,2026-03-12T12:55:41.331+00:00,triage,user_action,"{'turn': 2, 'rt_ms': 4219, 'correct': True, 'item_id': 's1', 'option_id': 'urgent'}"
298,27007c16-9a5c-4906-acf7-af9a317036cf,3eafff1d-e7a2-4e47-9a9d-e99388ee041b,2026-03-12T12:55:41.546+00:00,triage,feedback_shown,"{'turn': 2, 'outcome': 'win', 'score_delta': 1}"
299,27007c16-9a5c-4906-acf7-af9a317036cf,3eafff1d-e7a2-4e47-9a9d-e99388ee041b,2026-03-12T12:55:41.671+00:00,triage,stimulus_shown,"{'turn': 3, 'item_id': 's5', 'is_critical': False}"
300,27007c16-9a5c-4906-acf7-af9a317036cf,3eafff1d-e7a2-4e47-9a9d-e99388ee041b,2026-03-12T12:55:46.653+00:00,triage,user_action,"{'turn': 3, 'rt_ms': 4982, 'correct': True, 'item_id': 's5', 'option_id': 'today'}"
301,27007c16-9a5c-4906-acf7-af9a317036cf,3eafff1d-e7a2-4e47-9a9d-e99388ee041b,2026-03-12T12:55:46.805+00:00,triage,feedback_shown,"{'turn': 3, 'outcome': 'win', 'score_delta': 1}"
