profile_id,target_role,research_consent_given,created_at,updated_at
4bda9438-aff0-4838-b96d-88ac7af1ab0f,receptionist,True,2026-03-12T12:15:31.605+00:00,2026-03-12T12:19:31.468084+00:00
21a0dc6c-3910-4e91-8888-46cc6e29a62e,sales_ops,True,2026-03-13T11:19:55.066+00:00,2026-03-13T11:28:50.345658+00:00
c2401a0c-49b7-47f8-9a15-3203fd92c4b6,developer,True,2026-03-17T20:19:25.768+00:00,2026-03-17T20:24:48.024991+00:00
093d3f4d-d24e-47fb-9f90-de8e2e6b8be6,receptionist,True,2026-03-17T13:30:47.326+00:00,2026-03-17T13:36:48.993709+00:00
3ac6508f-b936-44ad-8f8d-eeaf0e6848ee,sales_ops,True,2026-03-12T12:52:11.289+00:00,2026-03-12T12:54:46.633351+00:00
09612f6d-c842-45f6-bac5-f6f5c117131c,sales_ops,True,2026-03-13T14:47:00.217+00:00,2026-03-13T14:49:08.531394+00:00
3eafff1d-e7a2-4e47-9a9d-e99388ee041b,sales_ops,True,2026-03-12T12:51:24.266+00:00,2026-03-12T12:54:54.401519+00:00
9f3c485e-7fa6-498a-b7cc-5ab7ca1d3f0a,receptionist,True,2026-03-13T12:17:09.387+00:00,2026-03-13T12:19:07.457642+00:00
1ac56240-ef90-4360-a0d1-585b60886757,sales_ops,True,2026-03-14T12:02:38.609+00:00,2026-03-14T12:04:33.557255+00:00
867d1f34-4148-42e9-865b-15889571ad89,sales_ops,True,2026-03-12T13:23:08.27+00:00,2026-03-12T13:28:30.088589+00:00
4983dc33-eb5d-46e1-92d4-2fa383334b78,developer,True,2026-03-16T16:19:47.363+00:00,2026-03-16T16:21:41.983144+00:00
10a6e06d-839c-46e1-bcf2-fc948adff31d,developer,True,2026-03-12T14:07:20.108+00:00,2026-03-12T14:09:34.30943+00:00
d87cecce-e8cd-4a21-afeb-e6f544cfa6bf,sales_ops,True,2026-03-13T12:23:22.602+00:00,2026-03-13T12:26:21.902876+00:00
fd85e477-ddef-4b81-bb94-cbdda9912dd4,sales_ops,True,2026-03-13T14:56:38.143+00:00,2026-03-13T14:58:22.298492+00:00
