profile_id,target_role,research_consent_given,created_at,updated_at,job_satisfaction,D1,D2,D3,D4,D5,D6_result,D6_learning,D6_relation,suggested_role,triage_decision_quality,triage_strategy_adaptation,triage_decision_speed,gonogo_inhibition_control,gonogo_attention_stability,gonogo_response_stability,neg_interaction_balance,neg_decision_drive,neg_outcome_quality
4bda9438-aff0-4838-b96d-88ac7af1ab0f,receptionist,True,2026-03-12T12:15:31.605+00:00,2026-03-12T12:19:31.468084+00:00,3,85.0,70.0,63.0,44.0,69.0,100.0,100.0,92.0,developer,,,,,,,,,
21a0dc6c-3910-4e91-8888-46cc6e29a62e,sales_ops,True,2026-03-13T11:19:55.066+00:00,2026-03-13T11:28:50.345658+00:00,2,,,,,,,,,,,,,,,,,,
c2401a0c-49b7-47f8-9a15-3203fd92c4b6,developer,True,2026-03-17T20:19:25.768+00:00,2026-03-17T20:24:48.024991+00:00,2,70.0,50.0,63.0,69.0,63.0,92.0,100.0,83.0,sales_ops,,,,,,,,,
093d3f4d-d24e-47fb-9f90-de8e2e6b8be6,receptionist,True,2026-03-17T13:30:47.326+00:00,2026-03-17T13:36:48.993709+00:00,3,90.0,80.0,69.0,69.0,44.0,83.0,83.0,92.0,receptionist,0.75,0.45,0.00011846762131824845,1.0,0.0,,0.11666666666666665,0.7999999999999999,0.7166666666666667
3ac6508f-b936-44ad-8f8d-eeaf0e6848ee,sales_ops,True,2026-03-12T12:52:11.289+00:00,2026-03-12T12:54:46.633351+00:00,3,55.0,60.0,63.0,44.0,69.0,83.0,92.0,67.0,sales_ops,0.25,0.55,0.00016037849324405598,1.0,0.022222222222222254,,0.23333333333333336,0.7166666666666667,0.625
09612f6d-c842-45f6-bac5-f6f5c117131c,sales_ops,True,2026-03-13T14:47:00.217+00:00,2026-03-13T14:49:08.531394+00:00,5,75.0,70.0,56.0,63.0,50.0,100.0,100.0,100.0,developer,0.25,0.65,0.00017536168347216134,0.7333333333333333,0.3555555555555555,0.05249394720328961,,,
3eafff1d-e7a2-4e47-9a9d-e99388ee041b,sales_ops,True,2026-03-12T12:51:24.266+00:00,2026-03-12T12:54:54.401519+00:00,5,85.0,80.0,63.0,75.0,31.0,100.0,92.0,100.0,receptionist,0.75,0.4166666666666667,0.0001676832463476493,0.8666666666666667,0.15555555555555556,0.013496570596705084,0.11666666666666665,0.7999999999999999,0.7166666666666667
9f3c485e-7fa6-498a-b7cc-5ab7ca1d3f0a,receptionist,True,2026-03-13T12:17:09.387+00:00,2026-03-13T12:19:07.457642+00:00,3,,,,,,,,,,,,,,,,,,
1ac56240-ef90-4360-a0d1-585b60886757,sales_ops,True,2026-03-14T12:02:38.609+00:00,2026-03-14T12:04:33.557255+00:00,3,55.0,60.0,56.0,56.0,25.0,67.0,75.0,67.0,sales_ops,0.625,0.55,0.0002192081107000959,0.7333333333333333,0.1333333333333333,0.01019611180486061,0.11666666666666665,0.7999999999999999,0.7166666666666667
867d1f34-4148-42e9-865b-15889571ad89,sales_ops,True,2026-03-12T13:23:08.27+00:00,2026-03-12T13:28:30.088589+00:00,4,75.0,75.0,81.0,44.0,81.0,92.0,100.0,100.0,receptionist,0.5,0.41666666666666663,9.80524335388349e-05,0.8,0.1777777777777778,0.1234560234519082,0.23333333333333336,0.7166666666666667,0.625
4983dc33-eb5d-46e1-92d4-2fa383334b78,developer,True,2026-03-16T16:19:47.363+00:00,2026-03-16T16:21:41.983144+00:00,3,75.0,55.0,44.0,56.0,69.0,75.0,83.0,83.0,developer,0.5,0.75,0.00019124572685329063,1.0,0.0,,0.11666666666666665,0.7999999999999999,0.7166666666666667
10a6e06d-839c-46e1-bcf2-fc948adff31d,developer,True,2026-03-12T14:07:20.108+00:00,2026-03-12T14:09:34.30943+00:00,4,65.0,65.0,31.0,56.0,50.0,83.0,100.0,92.0,sales_ops,0.75,0.7,0.00012893036148850103,1.0,0.022222222222222254,,0.25,0.6166666666666667,0.7083333333333334
d87cecce-e8cd-4a21-afeb-e6f544cfa6bf,sales_ops,True,2026-03-13T12:23:22.602+00:00,2026-03-13T12:26:21.902876+00:00,4,65.0,75.0,94.0,25.0,63.0,92.0,100.0,50.0,receptionist,0.375,0.5833333333333333,0.0002139266231682533,0.8,0.11111111111111116,0.02320959609095042,0.4166666666666667,0.5499999999999999,0.5499999999999999
fd85e477-ddef-4b81-bb94-cbdda9912dd4,sales_ops,True,2026-03-13T14:56:38.143+00:00,2026-03-13T14:58:22.298492+00:00,3,65.0,55.0,75.0,56.0,31.0,50.0,58.0,50.0,sales_ops,0.375,0.6944444444444445,0.0008807883167320627,,,,,,
dc5e1d44-459a-43dd-940e-00786d4f84ca,sales_ops,True,2026-03-17T14:08:22.974+00:00,2026-03-17T17:44:22.360837+00:00,5,60.0,95.0,25.0,50.0,63.0,75.0,83.0,83.0,receptionist,0.25,0.75,0.00016851329148586595,0.4666666666666667,0.24444444444444446,0.010166370877432353,0.20000000000000004,0.6166666666666667,0.6333333333333333
c71a5702-5635-4d8f-a85a-31fed6afc1c8,sales_ops,True,2026-03-12T14:36:50.055+00:00,2026-03-12T14:40:00.841713+00:00,3,,,,,,,,,,,,,,,,,,
3c50cad0-42f0-4118-b406-28e65e0caf2d,developer,True,2026-03-14T16:34:48.229+00:00,2026-03-14T16:40:35.706099+00:00,1,50.0,45.0,31.0,44.0,19.0,92.0,75.0,92.0,developer,0.75,0.9166666666666667,0.0002338907730090048,0.9333333333333333,0.1333333333333333,0.024790610540819047,0.5,0.3666666666666667,0.3916666666666666
ecc9b49b-2192-453d-adbc-0d61675e9fda,sales_ops,True,2026-03-13T12:38:44.152+00:00,2026-03-13T12:45:47.821256+00:00,4,,,,,,,,,,,,,,,,,,
d7479702-1f11-424a-83c8-fb66e5db1097,sales_ops,True,2026-03-12T14:52:43.425+00:00,2026-03-12T14:54:26.091995+00:00,2,50.0,70.0,25.0,88.0,31.0,83.0,100.0,83.0,sales_ops,0.5,0.7083333333333333,0.0002530924736625645,,,,,,
fb5921ce-c739-48c0-9d76-abbbf4a9ccc1,sales_ops,True,2026-03-13T12:16:26.317+00:00,2026-03-13T16:07:58.280022+00:00,1,45.0,100.0,25.0,88.0,25.0,100.0,100.0,100.0,receptionist,0.375,0.5833333333333333,4.628236873163168e-05,,,,,,
3f8c7b86-b961-4e10-8b7c-2ed4b806d6f7,developer,True,2026-03-12T16:04:12.377+00:00,2026-03-12T16:07:49.56978+00:00,4,,,,,,,,,,,,,,,,,,
6e9e603a-4bc0-4990-bdc8-428c3af32760,developer,True,2026-03-17T21:02:43.2+00:00,2026-03-17T21:05:29.87809+00:00,5,100.0,60.0,44.0,56.0,88.0,83.0,100.0,92.0,developer,0.5,0.41666666666666663,7.482509633731153e-05,1.0,0.0444444444444444,0.009099641081447948,0.25,0.6,0.6083333333333333
2793726b-3a52-4497-bb98-7ae0368d25e2,receptionist,True,2026-03-16T16:41:39.516+00:00,2026-03-16T16:45:09.468007+00:00,3,80.0,75.0,88.0,50.0,50.0,67.0,67.0,75.0,receptionist,0.75,1.0,0.00010047348128053452,0.4,0.7111111111111111,0.018249249957484056,0.11666666666666665,0.7999999999999999,0.7166666666666667
b581cb58-728d-4c35-ab17-24e896fc6c5d,receptionist,True,2026-03-13T18:12:04.069+00:00,2026-03-13T18:32:09.723495+00:00,3,75.0,65.0,94.0,56.0,44.0,92.0,100.0,83.0,receptionist,0.75,0.9,8.298669100942936e-05,0.9333333333333333,0.1333333333333333,0.03199767298392305,0.11666666666666665,0.7999999999999999,0.7166666666666667
1f9327a4-93a4-48d3-9e43-0aa6f57306b0,developer,True,2026-03-12T16:26:43.106+00:00,2026-03-12T16:28:33.813654+00:00,4,55.0,55.0,44.0,63.0,56.0,83.0,100.0,100.0,sales_ops,0.5,0.5833333333333333,0.00020351573431020886,0.43333333333333335,0.3,0.010517357830517951,0.23333333333333336,0.7166666666666667,0.625
